path,category,git_state,bytes,sha256
docs/agents/learning-gap-analytics-agent.md,architecture-or-operations-documentation,tracked,3869,4a5d1d17637a202b347a8b4d93b67d4b9c551cce594719776ee150e965d255ac
docs/agents/onboarding-orchestrator-agent.md,architecture-or-operations-documentation,tracked,1474,fde1d3e9da90a33313fb11b8a1d242a3733e0c3121e5300036a93b24b72a1b59
docs/agents/preview-evidence-agent.md,architecture-or-operations-documentation,tracked,1349,42e69b093088d9870f242c91694730298df369f0ce64912766df0be7fd90f478
docs/agents/revision-review-agent.md,architecture-or-operations-documentation,tracked,1544,b8e979d579c533df2e1d12ec129faca98659992211c41d2682f717d8f877411a
docs/agents/source-governance-agent.md,architecture-or-operations-documentation,tracked,1384,3fc9c2ad428990b7d275b0b4a68b96797c5068bab6a311e46eaad7c625a0b713
docs/agents/student-tutoring-agent.md,architecture-or-operations-documentation,tracked,1287,7c536d8944cb4c52dff8e248479c4bb3fc611b54443a34b466baac0e9a81ed31
docs/agents/tutor-policy-agent.md,architecture-or-operations-documentation,tracked,1419,a9d29defa1c00d12b04e7b8f4630a566a9d55005f18ae927dc0d33c8ed0fcd8a
docs/architecture.md,architecture-or-operations-documentation,tracked,9594,0a4e92673af439db78874e1c268ee82b7e452be3cb9ad0aec05d29f60acbd052
docs/archive/2026-06-onboarding/2026-06-25-instructor-digital-twin-stack-design.md,architecture-or-operations-documentation,tracked,7370,c97d8587e5ced9e32024d4965aedafdfe902692ce123693eea9cf392cefcfb60
docs/archive/2026-06-onboarding/2026-06-26-minimal-chat-led-onboarding-prototype.md,architecture-or-operations-documentation,tracked,56650,0f8e3582fb6f83db99bef7134462cd7cafa8059a7ce04575114ba6214fe6fc09
docs/archive/README.md,architecture-or-operations-documentation,tracked,405,d75456dd9a13146bdbec475683c95b87f4e18924b77705038327f32508e99a89
docs/atomic-claim-validation.md,architecture-or-operations-documentation,tracked,5475,55ad6657fce65c0cb88bcece05d1033d9d519f313b25ea3b9cd597f97b0b65c6
docs/autonomous-tutoring-graph.md,architecture-or-operations-documentation,tracked,20630,f83f518bb82e9c8c4b827f06e9a1691adea9db832cf1476303cb8054dcc206a2
docs/autonomous-tutoring-loop-v2.md,architecture-or-operations-documentation,tracked,31201,ef1d6394b009d773ba0e919c8ebf51a9cde041a6a495db9d288a03a65f98602d
docs/component-inventory.md,architecture-or-operations-documentation,tracked,9013,5c8a79930026413df498aa2fdd16135ee5551c72a9c03b69e0d876dafc7289b5
docs/current-status.md,architecture-or-operations-documentation,tracked,199974,bb2a21a29a534cf6dfcd09a7c05cbd745e2f29cff286a95ceed26f2aab4fcd9d
docs/deployment-threat-model.md,architecture-or-operations-documentation,tracked,5046,473d02994987bf3303d980412604661e32f14dcd5cf31403936180782a399c18
docs/deployment.md,architecture-or-operations-documentation,tracked,12600,df3dd32f53fbb15eb8daacb02c28be37720630fcceec1d7723f388a5ef0ee301
docs/evaluation-architecture.md,architecture-or-operations-documentation,tracked,12840,826a6bdcdd887799db649a94461f4d78bca91ce64ab759b48345b319aa514620
docs/evaluation-data-flow-and-threat-model.md,architecture-or-operations-documentation,tracked,12423,a250609cae8143b0910daac62d212d6c0ed25ea6194b84429dc4cc4df8330dc4
docs/github-project.md,architecture-or-operations-documentation,tracked,25022,115acc5556cf69d282c86361cbac3721c837825e45c54bddb56a87e4c82dce53
docs/live-generation.md,architecture-or-operations-documentation,tracked,10982,d602aad3341054dc8601d7c5484148fde1ee8bc169b3eae250044d8bb694959c
docs/local-ingestion.md,architecture-or-operations-documentation,tracked,7306,f8b7410998cc56726f3a00db1afd3d523dbf45df5a0742cbb580469459733f69
